id,id2,geography,totalPopulation,ageUnder5,age5To9,age10To14,age15To19,ageUnder19,ageRatioUnder19,unitsTotal,unitsSingleDetached,unitsSingleAttached,unitsTwo,unitsThreeOrFour,unitsFiveToNine,unitsTenToNineteen,unitsTwentyToFortynine,unitsFiftyOrMore,unitsMobileHome,unitsBoatRvVan,healthInsuranceCoverage
1400000US48453000804,48453000804,"Census Tract 8.04, Travis County, Texas",2295,215,165,141,139,660,0.28758,1012,733,4,31,102,62,6,16,48,0,10,11.2
1400000US48453000901,48453000901,"Census Tract 9.01, Travis County, Texas",2027,108,82,86,229,505,0.24914,917,508,11,31,0,0,50,21,287,9,0,13.4
1400000US48453000902,48453000902,"Census Tract 9.02, Travis County, Texas",5413,442,369,356,385,1552,0.28672,1978,1137,25,51,184,130,62,162,168,59,0,7.9
1400000US48453001000,48453001000,"Census Tract 10, Travis County, Texas",3656,186,163,156,158,663,0.18135,1664,1245,34,10,15,27,44,48,241,0,0,7.9
1400000US48453001100,48453001100,"Census Tract 11, Travis County, Texas",5512,83,45,42,102,272,0.04935,3898,101,56,0,56,68,160,164,3293,0,0,10.3
1400000US48453001200,48453001200,"Census Tract 12, Travis County, Texas",3836,109,92,65,72,338,0.08811,3147,734,192,28,161,177,283,286,1255,16,15,9
1400000US48453001303,48453001303,"Census Tract 13.03, Travis County, Texas",2871,126,80,74,60,340,0.11843,1768,675,87,39,52,97,127,274,404,13,0,11.2
1400000US48453001304,48453001304,"Census Tract 13.04, Travis County, Texas",3614,190,151,133,90,564,0.15606,2101,907,222,565,20,9,146,219,6,7,0,4
1400000US48453001305,48453001305,"Census Tract 13.05, Travis County, Texas",5488,437,300,232,238,1207,0.21993,2972,1428,165,172,173,226,158,276,374,0,0,5.1
1400000US48453001307,48453001307,"Census Tract 13.07, Travis County, Texas",3512,190,176,164,159,689,0.19618,1923,636,126,226,109,218,244,175,151,38,0,8
1400000US48453001308,48453001308,"Census Tract 13.08, Travis County, Texas",2670,162,110,87,83,442,0.16554,1423,577,31,64,83,124,192,218,77,57,0,8.4
1400000US48453001401,48453001401,"Census Tract 14.01, Travis County, Texas",2981,98,56,44,41,239,0.08017,1955,595,93,69,41,124,272,234,527,0,0,12.6
